input_raw,normalised_raw,vendor_hint,model_hint,version_hint,source_url,evidence_quote,third_party_result,confidence,action,reason_code,parse_applied,output_value,ai_vendor_hint,ai_model_hint,ai_confidence,ai_reason,ai_source
22 DOMINION SX16,22 dominion sx16,UNKNOWN,22 dominion sx16,UNKNOWN,LOCAL_RULESET,22 dominion sx16,NOT_CHECKED,0.35,NO_CHANGE,CONFIDENCE_LOW,False,22 DOMINION SX16,UNKNOWN,22 dominion sx16,0.00,NO_AI_ACTION,AGENT_VENDOR_MODEL
A10 Networks Thunder 4440(S) ADC,a10 networks thunder 4440 s adc,UNKNOWN,a10 networks thunder s adc,4440,LOCAL_RULESET,a10 networks thunder s adc,NOT_CHECKED,0.55,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,A10 Networks Thunder 4440(S) ADC,A10 Networks,a10 networks thunder s adc,0.70,REFERENCE_MANUFACTURER_MATCH,https://www.a10networks.com/products
Accton Technology AS7816-64X,accton technology as7816-64x,UNKNOWN,accton technology as7816-64x,UNKNOWN,LOCAL_RULESET,accton technology as7816-64x,NOT_CHECKED,0.35,NO_CHANGE,CONFIDENCE_LOW,False,Accton Technology AS7816-64X,UNKNOWN,accton technology as7816-64x,0.00,NO_AI_ACTION,AGENT_VENDOR_MODEL
Adva Fsp 150ccf,adva fsp 150ccf,UNKNOWN,adva fsp 150ccf,UNKNOWN,LOCAL_RULESET,adva fsp 150ccf,NOT_CHECKED,0.35,NO_CHANGE,CONFIDENCE_LOW,False,Adva Fsp 150ccf,UNKNOWN,adva fsp 150ccf,0.00,NO_AI_ACTION,AGENT_VENDOR_MODEL
Adva FSP 150CM,adva fsp 150cm,UNKNOWN,adva fsp 150cm,UNKNOWN,LOCAL_RULESET,adva fsp 150cm,NOT_CHECKED,0.35,NO_CHANGE,CONFIDENCE_LOW,False,Adva FSP 150CM,UNKNOWN,adva fsp 150cm,0.00,NO_AI_ACTION,AGENT_VENDOR_MODEL
Adva FSP 3000,adva fsp 3000,UNKNOWN,adva fsp,3000,LOCAL_RULESET,adva fsp,NOT_CHECKED,0.55,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,Adva FSP 3000,UNKNOWN,adva fsp,0.00,NO_AI_ACTION,AGENT_VENDOR_MODEL
Adva FSP 3000R7,adva fsp 3000r7,UNKNOWN,adva fsp 3000r7,UNKNOWN,LOCAL_RULESET,adva fsp 3000r7,NOT_CHECKED,0.35,NO_CHANGE,CONFIDENCE_LOW,False,Adva FSP 3000R7,UNKNOWN,adva fsp 3000r7,0.00,NO_AI_ACTION,AGENT_VENDOR_MODEL
Adva FSP 3000R7-SH9HU,adva fsp 3000r7-sh9hu,UNKNOWN,adva fsp 3000r7-sh9hu,UNKNOWN,LOCAL_RULESET,adva fsp 3000r7-sh9hu,NOT_CHECKED,0.35,NO_CHANGE,CONFIDENCE_LOW,False,Adva FSP 3000R7-SH9HU,UNKNOWN,adva fsp 3000r7-sh9hu,0.00,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel 1830 PSS-32,alcatel 1830 pss-32,Alcatel,pss-32,1830,LOCAL_RULESET,pss-32,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,pss-32,Alcatel,pss-32,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel 7302 ISAM,alcatel 7302 isam,Alcatel,isam,7302,LOCAL_RULESET,isam,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,isam,Alcatel,isam,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel 7750 SR-12,alcatel 7750 sr-12,Alcatel,sr-12,7750,LOCAL_RULESET,sr-12,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,sr-12,Alcatel,sr-12,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel 7750 SR-1e,alcatel 7750 sr-1e,Alcatel,sr-1e,7750,LOCAL_RULESET,sr-1e,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,sr-1e,Alcatel,sr-1e,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel 7750 SR-7,alcatel 7750 sr-7,Alcatel,sr-7,7750,LOCAL_RULESET,sr-7,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,sr-7,Alcatel,sr-7,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent 1626LM,alcatel lucent 1626lm,Alcatel Lucent,1626lm,UNKNOWN,LOCAL_RULESET,1626lm,NOT_CHECKED,0.80,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,Alcatel Lucent 1626LM,Alcatel Lucent,1626lm,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent 1662SMC,alcatel lucent 1662smc,Alcatel Lucent,1662smc,UNKNOWN,LOCAL_RULESET,1662smc,NOT_CHECKED,0.80,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,Alcatel Lucent 1662SMC,Alcatel Lucent,1662smc,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent 1678MCC,alcatel lucent 1678mcc,Alcatel Lucent,1678mcc,UNKNOWN,LOCAL_RULESET,1678mcc,NOT_CHECKED,0.80,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,Alcatel Lucent 1678MCC,Alcatel Lucent,1678mcc,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
ALCATEL LUCENT 1830 PSS-32,alcatel lucent 1830 pss-32,Alcatel Lucent,pss-32,1830,LOCAL_RULESET,pss-32,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,pss-32,Alcatel Lucent,pss-32,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent 7210 SAS-S,alcatel lucent 7210 sas-s,Alcatel Lucent,sas-s,7210,LOCAL_RULESET,sas-s,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,sas-s,Alcatel Lucent,sas-s,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent 7210 SAS-X,alcatel lucent 7210 sas-x,Alcatel Lucent,sas-x,7210,LOCAL_RULESET,sas-x,NOT_CHECKED,1.00,APPLY_CHANGE,CONFIDENCE_HIGH,True,sas-x,Alcatel Lucent,sas-x,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent Multiplexer 1642MC,alcatel lucent multiplexer 1642mc,Alcatel Lucent,multiplexer 1642mc,UNKNOWN,LOCAL_RULESET,multiplexer 1642mc,NOT_CHECKED,0.80,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,Alcatel Lucent Multiplexer 1642MC,Alcatel Lucent,multiplexer 1642mc,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent OS6250-24M,alcatel lucent os6250-24m,Alcatel Lucent,os6250-24m,UNKNOWN,LOCAL_RULESET,os6250-24m,NOT_CHECKED,0.80,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,Alcatel Lucent OS6250-24M,Alcatel Lucent,os6250-24m,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
Alcatel Lucent OS6250-8M,alcatel lucent os6250-8m,Alcatel Lucent,os6250-8m,UNKNOWN,LOCAL_RULESET,os6250-8m,NOT_CHECKED,0.80,SUGGEST_ONLY,CONFIDENCE_MEDIUM,False,Alcatel Lucent OS6250-8M,Alcatel Lucent,os6250-8m,0.70,NO_AI_ACTION,AGENT_VENDOR_MODEL
