pattern,vendor,model,version,confidence
Dell PowerEdge R650,Dell,PowerEdge R650,,0.99
CISCO NEXUS 5548UP,Cisco,Nexus 5548UP,,0.99
Hewlett Packard ProLiant DL360 Gen9,Hewlett Packard,ProLiant DL360,Gen9,0.99
Dark Trace DCIP-M,Dark Trace,DCIP-M,,0.80
F5 Big-ip 5050 Switch,F5,Big-IP 5050 Switch,,0.99
Dell PowerEdge R640,Dell,PowerEdge R640,,0.99
JUNIPER IDP8200,Juniper,IDP8200,,0.99
Intel True Scale Fabric 12200 Switch,Intel,True Scale Fabric 12200 Switch,,0.99
Cisco Catalyst 4948,Cisco,Catalyst 4948,,0.99
Cisco Nexus 93180YC-FX,Cisco,Nexus 93180YC-FX,,0.99
Raritan DOMINION SX32,Raritan,DOMINION SX32,,0.99
CISCO ASA 5585-X,Cisco,ASA 5585-X,,0.99
Cisco WS-C3750-48T-L,Cisco,WS-C3750-48T-L,,0.99
CISCO NEXUS 2248TP GE,Cisco,Nexus 2248TP GE,,0.99
Cisco Nexus 2248TP-E,Cisco,Nexus 2248TP-E,,0.99
Cisco UCS C220 M5,Cisco,UCS C220 M5,,0.99
Dell PowerEdge R730xd,Dell,PowerEdge R730xd,,0.99
Hewlett Packard ProLiant DL325 Gen10,Hewlett Packard,ProLiant DL325,Gen10,0.99
Hewlett Packard ProLiant DL360p Gen8,Hewlett Packard,ProLiant DL360p,Gen8,0.99
Opengear CM7148-2-DAC,Opengear,CM7148-2-DAC,,0.99
Raritan KX2-232,Raritan,KX2-232,,0.99
Mellanox SN3700C,Mellanox,SN3700C,,0.99
Cisco ASR 1006,Cisco,ASR 1006,,0.99
Cisco Nexus 9336C-FX2,Cisco,Nexus 9336C-FX2,,0.99
Cisco Catalyst 2950g-48,Cisco,Catalyst 2950g-48,,0.99
Palo Alto Networks PA-3430,Palo Alto Networks,PA-3430,,0.99
Panduit Hawk-I,Panduit,Hawk-I,,0.99
Comtrol Devicemaster Pro 8-Port,Comtrol,Devicemaster Pro 8-Port,,0.99
Hewlett Packard Apollo 4200 G9,Hewlett Packard,Apollo 4200,Gen9,0.99
Oracle Sun Fire X4270 M2,Oracle Sun,Fire X4270 M2,,0.99
Hewlett Packard ProLiant DL380 Gen9,Hewlett Packard,ProLiant DL380,Gen9,0.99
HP Proliant Dl360 G10,Hewlett Packard,ProLiant Dl360,Gen10,0.99
Adva FSP 3000R7,Adva,FSP 3000R7,,0.99
Nortel Media Gateway 3200,Nortel,Media Gateway 3200,,0.99
Cisco UCS S3260,Cisco,UCS S3260,,0.99
Cisco Nexus 93108TC-FX Switch,Cisco,Nexus 93108TC-FX,,0.99
HEWLETT PACKARD PROLIANT DL380 G7,Hewlett Packard,ProLiant DL380 G7,,0.99
Arista 7280SR-48C6,Arista,7280SR-48C6,,0.99
Cisco Nexus 93180YC-FX3,Cisco,Nexus 93180YC-FX3,,0.99
Cisco 4331 Integrated Services Routers,Cisco,4331 Integrated Services Routers,,0.99
Appear TV XC5100,Appear TV,XC5100,,0.99
Dell EMC Unity XT 680F DPE,Dell EMC,Unity XT 680F DPE,,0.99
Cisco Nexus 93180YC-EX,Cisco,Nexus 93180YC-EX,,0.99
Alcatel 7750 SR-12,Alcatel,7750 SR-12,,0.99
Hewlett Packard ProLiant DL360 Gen11,Hewlett Packard,ProLiant DL360,Gen11,0.99
Hewlett Packard ProLiant DL360 Gen10,Hewlett Packard,ProLiant DL360,Gen10,0.99
Cisco Catalyst C9300-48P,Cisco,Catalyst C9300-48P,,0.99
SUN SPARC T4-1,Oracle Sun,SPARC T4-1,,0.99
CISCO ASA 5520,Cisco,ASA 5520,,0.99
Cisco NCS 5508,Cisco,NCS 5508,,0.99
Cisco MDS 9148,Cisco,MDS 9148,,0.99
Sevone DNC 1000HF,Sevone,DNC 1000HF,,0.99
Sinetica Hawk-I,Sinetica,Hawk-I,,0.99
Qnap QNAP TS-EC2480U-RP Turbo NAS,Qnap,TS-EC2480U-RP Turbo NAS,,0.99
Cisco 7200 VXR,Cisco,7200 VXR,,0.99
CISCO ASA 5515-x,Cisco,ASA 5515-x,,0.99
ALCATEL LUCENT 1830 PSS-32,Alcatel Lucent,1830 PSS-32,,0.99
Cisco MDS 9396S 16G Multilayer Fabric Switch,Cisco,MDS 9396S 16G Multilayer Fabric Switch,,0.99
EMC DS60,EMC,DS60,,0.99
SINETICA ZAEI-01,Sinetica,ZAEI-01,,0.99
Cisco 4321 Integrated Services Routers,Cisco,4321 Integrated Services Routers,,0.99
IBM FlashSystem FS9500,IBM,FlashSystem FS9500,,0.99
Cisco As5400,Cisco,As5400,,0.99
MCAFEE DLP 4400,McAfee,DLP 4400,,0.99
Cisco Catalyst 3750x-48t-s,Cisco,Catalyst 3750x-48t-s,,0.99
Cisco Nexus 5596UP,Cisco,Nexus 5596UP,,0.99
CISCO NEXUS 7010,Cisco,Nexus 7010,,0.99
Cisco Nexus 9348GC-FXP,Cisco,Nexus 9348GC-FXP,,0.99
Cisco 2821,Cisco,2821,,0.99
MRV 4000T,MRV,4000T,,0.99
Procera Procera Server,Procera,Procera Server,,0.99
Cisco Nexus 2348TQ,Cisco,Nexus 2348TQ,,0.99
AlgoSec 2040,AlgoSec,2040,,0.99
PALO ALTO NETWORKS PA-5060,Palo Alto Networks,PA-5060,,0.99
CISCO ASA 5520 - ASA5520-K8 V2,Cisco,ASA 5520 - ASA5520-K8 V2,,0.99
Cisco 7609-s,Cisco,7609-s,,0.99
Hewlett Packard ProLiant DL560 Gen8,Hewlett Packard,ProLiant DL560,Gen8,0.99
Cisco 887,Cisco,887,,0.99
GIGAMON SYSTEMS GIGAVUE-HB1,Gigamon,GIGAVUE-HB1,,0.99
PALO ALTO NETWORKS M-100,Palo Alto Networks,M-100,,0.99
CISCO CATALYST 4507R,Cisco,Catalyst 4507R,,0.99
Dell PowerEdge R660,Dell,PowerEdge R660,,0.99
HEWLETT PACKARD SANSWITCH 8/24,Hewlett Packard,SANSWITCH 8/24,,0.99
